KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 14, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 15, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 16, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 17, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 18, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 19, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 20, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 21, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 22, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 23, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 24, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 25, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 26, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 27, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 28, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 29, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "step": 30, "allocated_mib": 129, "reserved_mib": 152, "max_allocated_mib": 130, "max_reserved_mib": 152}
KSOLVER_VRAM_RESULT {"activation_checkpointing": false, "batch_size": 128, "dataloader_sleep_ms": 5, "elapsed_seconds": 1.4641802310943604, "error": null, "family": "mlp", "framework": "pytorch", "framework_version": "2.5.1+cu124", "gpu_name": "NVIDIA GeForce RTX 4090", "gpu_total_mib": 24563, "gradient_accumulation_steps": 1, "heads": null, "hidden_size": 2048, "image_size": null, "input_pipeline": "cpu_to_gpu", "layers": 8, "model_arch": "tabular-mlp", "nvidia_smi_peak_used_mib": 1245, "nvidia_smi_samples": [{"elapsed_seconds": 4.76837158203125e-07, "gpu_util_pct": 3, "memory_used_mib": 624, "power_w": 26.29, "temp_c": 44, "ts": "2026/07/03 19:24:46.744"}, {"elapsed_seconds": 0.18999671936035156, "gpu_util_pct": 1, "memory_used_mib": 647, "power_w": 25.89, "temp_c": 44, "ts": "2026/07/03 19:24:46.893"}, {"elapsed_seconds": 0.3289961814880371, "gpu_util_pct": 1, "memory_used_mib": 1069, "power_w": 29.43, "temp_c": 44, "ts": "2026/07/03 19:24:47.023"}, {"elapsed_seconds": 0.4560060501098633, "gpu_util_pct": 16, "memory_used_mib": 1069, "power_w": 37.94, "temp_c": 44, "ts": "2026/07/03 19:24:47.149"}, {"elapsed_seconds": 0.5862274169921875, "gpu_util_pct": 2, "memory_used_mib": 1069, "power_w": 42.24, "temp_c": 44, "ts": "2026/07/03 19:24:47.278"}, {"elapsed_seconds": 0.7462303638458252, "gpu_util_pct": 0, "memory_used_mib": 1069, "power_w": 50.94, "temp_c": 44, "ts": "2026/07/03 19:24:47.464"}, {"elapsed_seconds": 0.9011828899383545, "gpu_util_pct": 0, "memory_used_mib": 1163, "power_w": 55.37, "temp_c": 44, "ts": "2026/07/03 19:24:47.593"}, {"elapsed_seconds": 1.0332927703857422, "gpu_util_pct": 6, "memory_used_mib": 1183, "power_w": 59.57, "temp_c": 45, "ts": "2026/07/03 19:24:47.733"}, {"elapsed_seconds": 1.1692001819610596, "gpu_util_pct": 5, "memory_used_mib": 1245, "power_w": 69.65, "temp_c": 45, "ts": "2026/07/03 19:24:47.897"}, {"elapsed_seconds": 1.3303205966949463, "gpu_util_pct": 5, "memory_used_mib": 1245, "power_w": 75.5, "temp_c": 45, "ts": "2026/07/03 19:24:48.031"}], "ok": true, "oom": false, "optimizer": "sgd", "param_count": 29375488, "precision": "fp16", "requested_gpu_count": 1, "requested_gpu_type": "rtx-4090", "reserve_extra_mib": 0, "sample_interval_seconds": 0.1, "samples_per_second": 2622.627951430474, "scenario": "realistic-mlp-fp16-sgd-b128-s1024-acc1", "schema_version": 1, "seq_len": 1024, "steps_completed": 30, "steps_requested": 30, "torch_peak_allocated_mib": 130, "torch_peak_reserved_mib": 152, "trainer_style": "pytorch-tabular-style"}
