KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 1, "allocated_mib": 1412, "reserved_mib": 1818, "max_allocated_mib": 1729, "max_reserved_mib": 1818}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 12, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 13, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 14, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 15, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 16, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 17, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 18, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 19, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 20, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 21, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 22, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 23, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 24, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 25, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 26, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 27, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 28, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 29, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 30, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 31, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 32, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 33, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 34, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 35, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 36, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 37, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 38, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 39, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 40, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 41, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 42, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 43, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 44, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 45, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 46, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 47, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 48, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 49, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 50, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 51, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 52, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 53, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 54, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 55, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 56, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 57, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 58, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 59, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "step": 60, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_RESULT {"activation_checkpointing": true, "batch_size": 2, "dataloader_sleep_ms": 8, "elapsed_seconds": 4.12468957901001, "error": null, "family": "transformer", "framework": "pytorch", "framework_version": "2.5.1+cu124", "gpu_name": "NVIDIA GeForce RTX 4090", "gpu_total_mib": 24563, "gradient_accumulation_steps": 1, "heads": 16, "hidden_size": 1024, "image_size": null, "input_pipeline": "cpu_to_gpu", "layers": 8, "model_arch": "bert", "nvidia_smi_peak_used_mib": 3761, "nvidia_smi_samples": [{"elapsed_seconds": 7.152557373046875e-07, "gpu_util_pct": 0, "memory_used_mib": 1093, "power_w": 21.99, "temp_c": 45, "ts": "2026/07/06 01:58:02.133"}, {"elapsed_seconds": 0.19872570037841797, "gpu_util_pct": 0, "memory_used_mib": 1093, "power_w": 21.66, "temp_c": 45, "ts": "2026/07/06 01:58:02.298"}, {"elapsed_seconds": 0.3420093059539795, "gpu_util_pct": 0, "memory_used_mib": 1093, "power_w": 21.1, "temp_c": 45, "ts": "2026/07/06 01:58:02.446"}, {"elapsed_seconds": 0.4933631420135498, "gpu_util_pct": 0, "memory_used_mib": 1093, "power_w": 20.88, "temp_c": 45, "ts": "2026/07/06 01:58:02.591"}, {"elapsed_seconds": 0.6336557865142822, "gpu_util_pct": 0, "memory_used_mib": 1115, "power_w": 21.65, "temp_c": 45, "ts": "2026/07/06 01:58:02.739"}, {"elapsed_seconds": 0.7826182842254639, "gpu_util_pct": 16, "memory_used_mib": 1683, "power_w": 25.14, "temp_c": 45, "ts": "2026/07/06 01:58:02.894"}, {"elapsed_seconds": 0.9411969184875488, "gpu_util_pct": 20, "memory_used_mib": 1827, "power_w": 35.56, "temp_c": 45, "ts": "2026/07/06 01:58:03.046"}, {"elapsed_seconds": 1.0973477363586426, "gpu_util_pct": 20, "memory_used_mib": 1827, "power_w": 39.72, "temp_c": 46, "ts": "2026/07/06 01:58:03.210"}, {"elapsed_seconds": 1.2526087760925293, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 49.74, "temp_c": 46, "ts": "2026/07/06 01:58:03.341"}, {"elapsed_seconds": 1.3821322917938232, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 54.74, "temp_c": 46, "ts": "2026/07/06 01:58:03.472"}, {"elapsed_seconds": 1.5142908096313477, "gpu_util_pct": 0, "memory_used_mib": 1889, "power_w": 59.81, "temp_c": 46, "ts": "2026/07/06 01:58:03.603"}, {"elapsed_seconds": 1.6429803371429443, "gpu_util_pct": 4, "memory_used_mib": 1923, "power_w": 70.02, "temp_c": 46, "ts": "2026/07/06 01:58:03.730"}, {"elapsed_seconds": 1.7711269855499268, "gpu_util_pct": 16, "memory_used_mib": 3381, "power_w": 77.28, "temp_c": 46, "ts": "2026/07/06 01:58:03.860"}, {"elapsed_seconds": 1.900148630142212, "gpu_util_pct": 16, "memory_used_mib": 3761, "power_w": 84.51, "temp_c": 46, "ts": "2026/07/06 01:58:03.995"}, {"elapsed_seconds": 2.0372836589813232, "gpu_util_pct": 67, "memory_used_mib": 3761, "power_w": 108.44, "temp_c": 46, "ts": "2026/07/06 01:58:04.127"}, {"elapsed_seconds": 2.1667048931121826, "gpu_util_pct": 71, "memory_used_mib": 3761, "power_w": 123.29, "temp_c": 52, "ts": "2026/07/06 01:58:04.268"}, {"elapsed_seconds": 2.3229150772094727, "gpu_util_pct": 71, "memory_used_mib": 3761, "power_w": 152.11, "temp_c": 52, "ts": "2026/07/06 01:58:04.438"}, {"elapsed_seconds": 2.4837470054626465, "gpu_util_pct": 71, "memory_used_mib": 3761, "power_w": 165.89, "temp_c": 52, "ts": "2026/07/06 01:58:04.576"}, {"elapsed_seconds": 2.615173101425171, "gpu_util_pct": 68, "memory_used_mib": 3761, "power_w": 195.03, "temp_c": 53, "ts": "2026/07/06 01:58:04.746"}, {"elapsed_seconds": 2.8011603355407715, "gpu_util_pct": 69, "memory_used_mib": 3761, "power_w": 219.87, "temp_c": 53, "ts": "2026/07/06 01:58:04.925"}, {"elapsed_seconds": 2.9799911975860596, "gpu_util_pct": 69, "memory_used_mib": 3761, "power_w": 225.3, "temp_c": 53, "ts": "2026/07/06 01:58:05.093"}, {"elapsed_seconds": 3.1328232288360596, "gpu_util_pct": 68, "memory_used_mib": 3761, "power_w": 229.38, "temp_c": 52, "ts": "2026/07/06 01:58:05.233"}, {"elapsed_seconds": 3.2733802795410156, "gpu_util_pct": 68, "memory_used_mib": 3761, "power_w": 230.04, "temp_c": 52, "ts": "2026/07/06 01:58:05.367"}, {"elapsed_seconds": 3.40702486038208, "gpu_util_pct": 71, "memory_used_mib": 3761, "power_w": 230.4, "temp_c": 52, "ts": "2026/07/06 01:58:05.495"}, {"elapsed_seconds": 3.55039119720459, "gpu_util_pct": 70, "memory_used_mib": 3761, "power_w": 230.24, "temp_c": 52, "ts": "2026/07/06 01:58:05.647"}, {"elapsed_seconds": 3.686899185180664, "gpu_util_pct": 70, "memory_used_mib": 3761, "power_w": 228.88, "temp_c": 54, "ts": "2026/07/06 01:58:05.805"}, {"elapsed_seconds": 3.8525917530059814, "gpu_util_pct": 70, "memory_used_mib": 3761, "power_w": 229.52, "temp_c": 54, "ts": "2026/07/06 01:58:05.946"}, {"elapsed_seconds": 4.000027894973755, "gpu_util_pct": 69, "memory_used_mib": 3761, "power_w": 229.38, "temp_c": 54, "ts": "2026/07/06 01:58:06.085"}], "ok": true, "oom": false, "optimizer": "adamw", "param_count": 166337792, "precision": "fp16", "requested_gpu_count": 1, "requested_gpu_type": "rtx-4090", "reserve_extra_mib": 0, "sample_interval_seconds": 0.1, "samples_per_second": 29.093098450526764, "scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r2", "schema_version": 1, "seq_len": 1024, "steps_completed": 60, "steps_requested": 60, "torch_peak_allocated_mib": 1729, "torch_peak_reserved_mib": 2198, "trainer_style": "hf-trainer-style"}
