KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 19, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 20, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 21, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 22, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 23, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 24, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 25, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 26, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 27, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 28, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 29, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 30, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 31, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 32, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 33, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 34, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 35, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 36, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 37, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 38, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
