KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 13, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 14, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 15, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 16, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 17, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 18, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 19, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 20, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 21, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 22, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 23, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 24, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 25, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 26, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 27, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 28, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 29, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "step": 30, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_RESULT {"activation_checkpointing": true, "batch_size": 2, "dataloader_sleep_ms": 5, "elapsed_seconds": 2.806065559387207, "error": null, "family": "transformer", "framework": "pytorch", "framework_version": "2.5.1+cu124", "gpu_name": "NVIDIA GeForce RTX 4090", "gpu_total_mib": 24563, "gradient_accumulation_steps": 1, "heads": 16, "hidden_size": 1024, "image_size": null, "input_pipeline": "cpu_to_gpu", "layers": 8, "model_arch": "bert", "nvidia_smi_peak_used_mib": 3236, "nvidia_smi_samples": [{"elapsed_seconds": 1.1920928955078125e-06, "gpu_util_pct": 0, "memory_used_mib": 568, "power_w": 44.31, "temp_c": 44, "ts": "2026/07/03 17:08:32.233"}, {"elapsed_seconds": 0.14009594917297363, "gpu_util_pct": 2, "memory_used_mib": 568, "power_w": 44.31, "temp_c": 44, "ts": "2026/07/03 17:08:32.373"}, {"elapsed_seconds": 0.27095985412597656, "gpu_util_pct": 0, "memory_used_mib": 568, "power_w": 44.32, "temp_c": 44, "ts": "2026/07/03 17:08:32.519"}, {"elapsed_seconds": 0.4289968013763428, "gpu_util_pct": 0, "memory_used_mib": 568, "power_w": 44.35, "temp_c": 44, "ts": "2026/07/03 17:08:32.667"}, {"elapsed_seconds": 0.5642299652099609, "gpu_util_pct": 1, "memory_used_mib": 952, "power_w": 44.39, "temp_c": 44, "ts": "2026/07/03 17:08:32.797"}, {"elapsed_seconds": 0.6976940631866455, "gpu_util_pct": 26, "memory_used_mib": 1302, "power_w": 49.36, "temp_c": 44, "ts": "2026/07/03 17:08:32.946"}, {"elapsed_seconds": 0.8895919322967529, "gpu_util_pct": 8, "memory_used_mib": 1302, "power_w": 54.9, "temp_c": 44, "ts": "2026/07/03 17:08:33.128"}, {"elapsed_seconds": 1.0461585521697998, "gpu_util_pct": 8, "memory_used_mib": 1302, "power_w": 57.72, "temp_c": 45, "ts": "2026/07/03 17:08:33.285"}, {"elapsed_seconds": 1.1904456615447998, "gpu_util_pct": 0, "memory_used_mib": 1302, "power_w": 63.22, "temp_c": 45, "ts": "2026/07/03 17:08:33.417"}, {"elapsed_seconds": 1.314810037612915, "gpu_util_pct": 2, "memory_used_mib": 1394, "power_w": 65.96, "temp_c": 45, "ts": "2026/07/03 17:08:33.579"}, {"elapsed_seconds": 1.477257490158081, "gpu_util_pct": 11, "memory_used_mib": 1956, "power_w": 73.42, "temp_c": 45, "ts": "2026/07/03 17:08:33.727"}, {"elapsed_seconds": 1.631392240524292, "gpu_util_pct": 11, "memory_used_mib": 3236, "power_w": 81.23, "temp_c": 45, "ts": "2026/07/03 17:08:33.864"}, {"elapsed_seconds": 1.7684884071350098, "gpu_util_pct": 57, "memory_used_mib": 3236, "power_w": 91.54, "temp_c": 45, "ts": "2026/07/03 17:08:33.997"}, {"elapsed_seconds": 1.9008612632751465, "gpu_util_pct": 75, "memory_used_mib": 3236, "power_w": 120.97, "temp_c": 45, "ts": "2026/07/03 17:08:34.142"}, {"elapsed_seconds": 2.039841890335083, "gpu_util_pct": 75, "memory_used_mib": 3236, "power_w": 135.43, "temp_c": 45, "ts": "2026/07/03 17:08:34.291"}, {"elapsed_seconds": 2.1954944133758545, "gpu_util_pct": 74, "memory_used_mib": 3236, "power_w": 166.16, "temp_c": 49, "ts": "2026/07/03 17:08:34.423"}, {"elapsed_seconds": 2.3357889652252197, "gpu_util_pct": 75, "memory_used_mib": 3236, "power_w": 180.59, "temp_c": 49, "ts": "2026/07/03 17:08:34.581"}, {"elapsed_seconds": 2.493600368499756, "gpu_util_pct": 76, "memory_used_mib": 3236, "power_w": 211.51, "temp_c": 49, "ts": "2026/07/03 17:08:34.757"}, {"elapsed_seconds": 2.6572842597961426, "gpu_util_pct": 76, "memory_used_mib": 3236, "power_w": 225.1, "temp_c": 51, "ts": "2026/07/03 17:08:34.893"}], "ok": true, "oom": false, "optimizer": "adamw", "param_count": 166337792, "precision": "fp16", "requested_gpu_count": 1, "requested_gpu_type": "rtx-4090", "reserve_extra_mib": 0, "sample_interval_seconds": 0.1, "samples_per_second": 21.382251672374643, "scenario": "realistic-transformer-bert-fp16-ckpt1-b2-s1024", "schema_version": 1, "seq_len": 1024, "steps_completed": 30, "steps_requested": 30, "torch_peak_allocated_mib": 1729, "torch_peak_reserved_mib": 2198, "trainer_style": "hf-trainer-style"}
